,Habitaciones,Baños,Estrato,Estado,Antigüedad,Piso N°,Administración,Precio m²,Tipo de apartamento,Parqueaderos,Precio,Área construída (m²),Área privada (m²)
51,,,,,,,,,,, 158000000,,
52,3.0,2.0,3.0,Excelente,1 a 8 años,2.0,$ 92.000 COP,"$ 3.382.352,94*m²",,1, 230000000,68 ,64 
53,3.0,1.0,3.0,Excelente,1 a 8 años,3.0,$ 100.000 COP,"$ 2.275.862,07*m²",,, 132000000,58 ,49 
54,3.0,1.0,3.0,Excelente,1 a 8 años,3.0,$ 54.500 COP,"$ 2.111.111,11*m²",,, 95000000,45 ,45 
55,3.0,2.0,2.0,,1 a 8 años,,$ 54.000 COP,"$ 2.708.333,33*m²",,1, 130000000,48 ,48 
56,3.0,2.0,3.0,Excelente,9 a 15 años,2.0,No definida,"$ 2.234.042,55*m²",,, 105000000,47 ,47 
57,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
58,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
59,2.0,1.0,3.0,Excelente,9 a 15 años,6.0,$ 50.000 COP,$ 2.750.000*m²,,Más de 10, 110000000,40 ,0 
60,3.0,2.0,3.0,Excelente,1 a 8 años,3.0,No definida,"$ 2.413.793,1*m²",,, 140000000,58 ,0 
61,3.0,2.0,3.0,Bueno,1 a 8 años,3.0,$ 70.000 COP,"$ 2.555.555,56*m²",,, 115000000,45 ,45 
62,3.0,2.0,3.0,Bueno,1 a 8 años,2.0,$ 79.000 COP,"$ 2.549.019,61*m²",,, 130000000,51 ,0 
63,3.0,2.0,3.0,,9 a 15 años,,$ 48.000 COP,"$ 2.285.714,29*m²",,, 112000000,49 ,49 
64,2.0,1.0,3.0,Excelente,1 a 8 años,1.0,$ 60.000 COP,"$ 2.619.047,62*m²",,, 110000000,42 ,39 
65,3.0,2.0,3.0,,1 a 8 años,,$ 95.000 COP,"$ 2.450.980,39*m²",Loft,, 125000000,51 ,0 
66,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
67,,,,,,,,,,, 152152000,,
68,2.0,1.0,3.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.565.789,47*m²",,, 97500000,38 ,38 
69,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
70,,,,,,,,,,, 130625000,,
71,,,,,,,,,,, 118000000,,
72,2.0,1.0,3.0,Excelente,1 a 8 años,6.0,$ 44.000 COP,"$ 2.564.102,56*m²",,, 100000000,39 ,39 
73,3.0,2.0,3.0,,1 a 8 años,,$ 70.000 COP,"$ 2.291.666,67*m²",,, 110000000,48 ,48 
74,3.0,2.0,3.0,Excelente,1 a 8 años,6.0,$ 92.000 COP,"$ 2.532.786,89*m²",,, 154500000,61 ,53 
75,2.0,1.0,3.0,Bueno,1 a 8 años,1.0,No definida,"$ 2.368.421,05*m²",,, 90000000,38 ,35 
76,2.0,1.0,3.0,Excelente,1 a 8 años,5.0,No definida,"$ 2.391.304,35*m²",,1, 110000000,46 ,46 
77,3.0,1.0,3.0,,1 a 8 años,4.0,No definida,"$ 1.886.792,45*m²",,, 100000000,53 ,48 
78,3.0,1.0,3.0,,9 a 15 años,,No definida,$ 2.025.000*m²,,, 81000000,40 ,40 
79,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
80,3.0,2.0,3.0,Excelente,9 a 15 años,5.0,$ 65.000 COP,"$ 2.339.285,71*m²",,, 131000000,56 ,56 
81,3.0,2.0,3.0,Bueno,1 a 8 años,5.0,$ 56.000 COP,"$ 2.019.230,77*m²",,, 105000000,52 ,48 
82,2.0,1.0,2.0,,,,No definida,"$ 2.023.809,52*m²",,1, 85000000,42 ,42 
83,3.0,2.0,2.0,Bueno,9 a 15 años,3.0,$ 60.000 COP,"$ 1.666.666,67*m²",Loft,, 90000000,54 ,51 
84,3.0,1.0,2.0,Bueno,16 a 30 años,2.0,No definida,"$ 2.444.444,44*m²",,, 110000000,45 ,45 
85,3.0,2.0,3.0,Excelente,1 a 8 años,6.0,$ 98.000 COP,$ 2.890.625*m²,,, 185000000,64 ,0 
86,3.0,2.0,3.0,Excelente,1 a 8 años,1.0,$ 100.000 COP,$ 2.421.875*m²,,, 155000000,64 ,60 
87,3.0,2.0,2.0,,,,No definida,$ 2.000.000*m²,,, 100000000,50 ,50 
88,3.0,2.0,3.0,Excelente,16 a 30 años,2.0,No definida,$ 2.300.000*m²,,, 138000000,60 ,0 
89,3.0,2.0,3.0,Excelente,9 a 15 años,4.0,$ 72.000 COP,$ 2.500.000*m²,Loft,, 125000000,50 ,46 
90,,,,,,,,,,, 97000000,,
91,,,,,,,,,,, 92000000,,
92,2.0,2.0,2.0,Bueno,1 a 8 años,2.0,No definida,$ 1.562.500*m²,,, 125000000,80 ,78 
93,3.0,2.0,3.0,Excelente,1 a 8 años,1.0,$ 75.000 COP,"$ 2.327.586,21*m²",,, 135000000,58 ,58 
94,2.0,1.0,0.0,,,,No definida,"$ 2.380.952,38*m²",,, 100000000,42 ,0 
95,2.0,2.0,3.0,Excelente,1 a 8 años,3.0,$ 76.000 COP,"$ 2.148.148,15*m²",,, 116000000,54 ,54 
96,3.0,1.0,2.0,Remodelado,9 a 15 años,5.0,$ 70.000 COP,"$ 2.192.982,46*m²",,, 125000000,57 ,57 
97,3.0,2.0,3.0,,1 a 8 años,,$ 95.000 COP,"$ 2.450.980,39*m²",Loft,, 125000000,51 ,0 
98,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
99,,,,,,,,,,, 152152000,,
100,2.0,1.0,3.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.565.789,47*m²",,, 97500000,38 ,38 
101,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
102,,,,,,,,,,, 130625000,,
103,3.0,2.0,3.0,,1 a 8 años,4.0,No definida,"$ 2.330.769,23*m²",,, 151500000,65 ,65 
104,3.0,1.0,0.0,,,,No definida,"$ 2.244.897,96*m²",,, 110000000,49 ,0 
105,3.0,2.0,3.0,Excelente,9 a 15 años,3.0,No definida,$ 2.460.000*m²,,, 123000000,50 ,0 
106,,,,,,,,,,, 120000000,,
107,2.0,1.0,0.0,,,,No definida,"$ 2.045.454,55*m²",,, 90000000,44 ,0 
108,3.0,1.0,3.0,Excelente,1 a 8 años,6.0,$ 64.000 COP,"$ 1.938.775,51*m²",,1, 95000000,49 ,47 
109,2.0,1.0,3.0,Excelente,9 a 15 años,1.0,No definida,"$ 2.565.789,47*m²",,, 97500000,38 ,0 
110,3.0,2.0,3.0,,1 a 8 años,,$ 132.000 COP,"$ 2.543.859,65*m²",,, 145000000,57 ,57 
111,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
112,3.0,1.0,3.0,Bueno,9 a 15 años,3.0,No definida,"$ 2.075.471,7*m²",,, 110000000,53 ,50 
113,3.0,1.0,3.0,,1 a 8 años,2.0,$ 55.000 COP,$ 2.160.000*m²,,, 108000000,50 ,0 
114,2.0,1.0,2.0,Bueno,1 a 8 años,3.0,$ 51.000 COP,"$ 2.317.073,17*m²",,, 95000000,41 ,41 
115,,,,,,,,,,, 115000000,,
116,3.0,1.0,3.0,Bueno,1 a 8 años,,No definida,"$ 2.195.652,17*m²",,1, 101000000,46 ,46 
117,3.0,1.0,2.0,Excelente,1 a 8 años,1.0,No definida,$ 2.600.000*m²,,, 130000000,50 ,50 
118,3.0,2.0,3.0,Excelente,1 a 8 años,3.0,$ 90.000 COP,"$ 2.241.379,31*m²",,, 130000000,58 ,53 
119,3.0,2.0,2.0,,1 a 8 años,,$ 112.000 COP,"$ 2.855.932,2*m²",,1, 168500000,59 ,59 
120,,,,,,,,,,, 135000000,,
121,3.0,1.0,3.0,Bueno,16 a 30 años,1.0,No definida,"$ 1.851.851,85*m²",,, 100000000,54 ,0 
122,3.0,2.0,3.0,Excelente,1 a 8 años,5.0,No definida,$ 2.240.000*m²,,, 112000000,50 ,0 
123,3.0,2.0,2.0,Bueno,1 a 8 años,1.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,45 
124,2.0,2.0,3.0,Bueno,1 a 8 años,1.0,No definida,"$ 2.404.255,32*m²",,, 113000000,47 ,47 
125,2.0,1.0,3.0,Excelente,1 a 8 años,4.0,$ 60.000 COP,"$ 2.613.636,36*m²",,, 115000000,44 ,44 
126,3.0,2.0,3.0,,1 a 8 años,,No definida,"$ 2.142.857,14*m²",,, 150000000,70 ,70 
127,2.0,1.0,3.0,Bueno,1 a 8 años,6.0,$ 50.000 COP,"$ 1.976.190,48*m²",,, 83000000,42 ,38 
128,3.0,1.0,3.0,Excelente,1 a 8 años,6.0,$ 70.000 COP,$ 2.400.000*m²,,, 120000000,50 ,48 
129,2.0,1.0,2.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.545.454,55*m²",,, 112000000,44 ,44 
130,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
131,,,,,,,,,,, 152152000,,
132,3.0,1.0,3.0,Remodelado,9 a 15 años,6.0,No definida,"$ 1.785.714,29*m²",Loft,, 100000000,56 ,56 
133,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
134,,,,,,,,,,, 130625000,,
135,2.0,1.0,3.0,Bueno,9 a 15 años,3.0,$ 50.000 COP,"$ 1.489.361,7*m²",,, 70000000,47 ,43 
136,,,,,,,,,,, 125000000,,
137,,,,,,,,,,, 110000000,,
138,3.0,1.0,3.0,Bueno,9 a 15 años,3.0,No definida,$ 2.370.000*m²,,, 118500000,50 ,50 
139,,,,,,,,,,, 120000000,,
140,3.0,2.0,3.0,Bueno,9 a 15 años,3.0,No definida,$ 2.460.000*m²,,, 123000000,50 ,50 
141,3.0,2.0,3.0,Excelente,1 a 8 años,5.0,$ 70.000 COP,"$ 2.181.818,18*m²",,, 120000000,55 ,55 
142,,,,,,,,,,, 100000000,,
143,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
144,4.0,2.0,3.0,,16 a 30 años,,$ 78.000 COP,$ 1.812.500*m²,,, 145000000,80 ,80 
145,,,,,,,,,,, 110000000,,
146,3.0,1.0,3.0,Bueno,1 a 8 años,4.0,$ 69.000 COP,"$ 2.053.571,43*m²",,, 115000000,56 ,52 
147,,,,,,,,,,, 135000000,,
148,2.0,1.0,3.0,Bueno,1 a 8 años,5.0,$ 56.000 COP,"$ 2.487.804,88*m²",,, 102000000,41 ,41 
149,,,,,,,,,,, 120000000,,
150,2.0,1.0,3.0,Bueno,1 a 8 años,1.0,No definida,"$ 2.487.804,88*m²",,, 102000000,41 ,41 
151,,,,,,,,,,, 78000000,,
152,3.0,3.0,2.0,,más de 30 años,,$ 60.000 COP,"$ 1.928.571,43*m²",,1, 135000000,70 ,70 
153,3.0,1.0,3.0,Bueno,9 a 15 años,3.0,No definida,"$ 2.276.595,74*m²",,, 107000000,47 ,47 
154,2.0,1.0,2.0,Bueno,1 a 8 años,5.0,$ 55.000 COP,$ 1.750.000*m²,,, 98000000,56 ,56 
155,2.0,1.0,2.0,Bueno,1 a 8 años,4.0,$ 45.000 COP,"$ 1.886.363,64*m²",,, 83000000,44 ,44 
156,3.0,2.0,3.0,Excelente,1 a 8 años,6.0,No definida,"$ 1.666.666,67*m²",,, 85000000,51 ,0 
157,3.0,2.0,2.0,,1 a 8 años,3.0,$ 60.000 COP,"$ 2.107.142,86*m²",,, 118000000,56 ,0 
158,3.0,2.0,3.0,,1 a 8 años,,$ 76.000 COP,"$ 2.473.684,21*m²",,, 141000000,57 ,0 
159,,,,,,,,,,, 123000000,,
160,,,,,,,,,,, 105000000,,
161,2.0,1.0,2.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.545.454,55*m²",,, 112000000,44 ,44 
162,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
163,,,,,,,,,,, 152152000,,
164,3.0,1.0,3.0,Remodelado,9 a 15 años,6.0,No definida,"$ 1.785.714,29*m²",Loft,, 100000000,56 ,56 
165,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
166,,,,,,,,,,, 130625000,,
167,,,,,,,,,,, 115000000,,
168,3.0,2.0,2.0,Excelente,9 a 15 años,5.0,No definida,"$ 2.272.727,27*m²",,, 125000000,55 ,51 
169,,,,,,,,,,, 97000000,,
170,,,,,,,,,,, 130000000,,
171,,,,,,,,,,, 117000000,,
172,,,,,,,,,,, 140000000,,
173,,,,,,,,,,, 110000000,,
174,,,,,,,,,,, 125000000,,
175,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
176,,,,,,,,,,, 125000000,,
177,,,,,,,,,,, 140000000,,
178,,,,,,,,,,, 190000000,,
179,,,,,,,,,,, 200000000,,
180,3.0,2.0,3.0,Excelente,1 a 8 años,6.0,$ 60.000 COP,"$ 1.666.666,67*m²",Loft,, 85000000,51 ,0 
181,,,,,,,,,,, 145000000,,
182,,,,,,,,,,, 150000000,,
183,,,,,,,,,,, 127000000,,
184,,,,,,,,,,, 98000000,,
185,,,,,,,,,,, 126000000,,
186,,,,,,,,,,, 120000000,,
187,,,,,,,,,,, 97500000,,
188,,,,,,,,,,, 110000000,,
189,,,,,,,,,,, 135000000,,
190,,,,,,,,,,, 130000000,,
191,,,,,,,,,,, 113000000,,
192,2.0,1.0,3.0,,1 a 8 años,,$ 70.000 COP,"$ 2.127.659,57*m²",,, 100000000,47 ,47 
193,3.0,2.0,3.0,,1 a 8 años,,$ 95.000 COP,"$ 2.450.980,39*m²",Loft,, 125000000,51 ,0 
194,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
195,,,,,,,,,,, 152152000,,
196,2.0,1.0,3.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.565.789,47*m²",,, 97500000,38 ,38 
197,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
198,,,,,,,,,,, 130625000,,
199,3.0,2.0,3.0,Excelente,1 a 8 años,4.0,$ 90.000 COP,"$ 2.346.938,78*m²",,, 115000000,49 ,45 
200,,,,,,,,,,, 130000000,,
201,,,,,,,,,,, 135000000,,
202,3.0,2.0,1.0,Excelente,1 a 8 años,,No definida,$ 1.950.000*m²,,, 117000000,60 ,0 
203,,,,,,,,,,, 120000000,,
204,,,,,,,,,,, 155000000,,
205,,,,,,,,,,, 150000000,,
206,,,,,,,,,,, 108000000,,
207,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
208,,,,,,,,,,, 130000000,,
209,,,,,,,,,,, 160000000,,
210,2.0,1.0,3.0,Excelente,1 a 8 años,1.0,$ 50.000 COP,"$ 2.153.846,15*m²",,, 112000000,52 ,52 
211,,,,,,,,,,, 115000000,,
212,3.0,1.0,3.0,Excelente,9 a 15 años,5.0,$ 75.000 COP,"$ 2.613.636,36*m²",,, 115000000,44 ,41 
213,,,,,,,,,,, 145000000,,
214,,,,,,,,,,, 115000000,,
215,2.0,1.0,2.0,Bueno,1 a 8 años,5.0,No definida,$ 1.800.000*m²,,, 90000000,50 ,0 
216,3.0,2.0,2.0,,1 a 8 años,,$ 52.000 COP,"$ 2.065.217,39*m²",,, 95000000,46 ,46 
217,,,,,,,,,,, 120000000,,
218,,,,,,,,,,, 110000000,,
219,4.0,2.0,2.0,Excelente,1 a 8 años,3.0,$ 88.000 COP,"$ 2.241.379,31*m²",,Más de 10, 130000000,58 ,58 
220,3.0,2.0,3.0,Excelente,9 a 15 años,3.0,$ 69.000 COP,"$ 3.207.547,17*m²",,, 170000000,53 ,0 
221,3.0,1.0,2.0,Excelente,1 a 8 años,1.0,$ 67.000 COP,"$ 2.446.808,51*m²",,Más de 10, 115000000,47 ,47 
222,,,,,,,,,,, 109500000,,
223,,,,,,,,,,, 110000000,,
224,3.0,2.0,2.0,Excelente,,5.0,No definida,"$ 2.076.124,57*m²",,, 120000000,"57,8 ",0 
225,2.0,1.0,2.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.545.454,55*m²",,, 112000000,44 ,44 
226,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
227,,,,,,,,,,, 152152000,,
228,3.0,1.0,3.0,Remodelado,9 a 15 años,6.0,No definida,"$ 1.785.714,29*m²",Loft,, 100000000,56 ,56 
229,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
230,,,,,,,,,,, 130625000,,
231,2.0,1.0,3.0,,,,$ 56.000 COP,"$ 2.878.048,78*m²",,, 118000000,41 ,0 
232,3.0,1.0,3.0,Excelente,1 a 8 años,5.0,No definida,"$ 2.204.545,45*m²",Loft,, 97000000,44 ,0 
233,3.0,1.0,3.0,Bueno,9 a 15 años,3.0,$ 72.000 COP,$ 2.187.500*m²,,, 105000000,48 ,47 
234,3.0,1.0,3.0,Bueno,9 a 15 años,4.0,$ 100.000 COP,$ 2.187.500*m²,,, 105000000,48 ,45 
235,3.0,1.0,0.0,,,,No definida,$ 2.500.000*m²,,, 125000000,50 ,0 
236,2.0,1.0,2.0,,9 a 15 años,,$ 60.000 COP,"$ 1.777.777,78*m²",,Más de 10, 80000000,45 ,45 
237,3.0,2.0,2.0,Bueno,1 a 8 años,1.0,No definida,"$ 2.291.666,67*m²",Loft,1, 110000000,48 ,48 
238,3.0,1.0,2.0,Bueno,9 a 15 años,6.0,No definida,$ 2.200.000*m²,,, 110000000,50 ,50 
239,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
240,3.0,2.0,3.0,,1 a 8 años,,$ 68.000 COP,"$ 2.088.888,89*m²",,, 94000000,45 ,45 
241,2.0,1.0,3.0,,,5.0,$ 61.600 COP,"$ 2.631.578,95*m²",,, 100000000,38 ,38 
242,2.0,1.0,2.0,Excelente,1 a 8 años,2.0,No definida,$ 2.250.000*m²,,, 90000000,40 ,0 
243,,,,,,,,,,, 112000000,,
244,2.0,1.0,3.0,,1 a 8 años,,$ 55.000 COP,"$ 2.878.048,78*m²",,, 118000000,41 ,0 
245,3.0,1.0,2.0,Excelente,16 a 30 años,1.0,$ 35.000 COP,"$ 1.709.302,33*m²",,1, 73500000,43 ,41 
246,3.0,1.0,3.0,Bueno,,4.0,$ 40.000 COP,"$ 2.346.153,85*m²",,1, 122000000,52 ,52 
247,2.0,1.0,2.0,Excelente,1 a 8 años,6.0,No definida,"$ 2.302.325,58*m²",,, 99000000,43 ,38 
248,2.0,1.0,2.0,,1 a 8 años,,$ 60.000 COP,"$ 2.119.047,62*m²",,Más de 10, 89000000,42 ,42 
249,3.0,2.0,3.0,,1 a 8 años,5.0,$ 75.000 COP,$ 2.600.000*m²,,, 130000000,50 ,50 
250,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.321.428,57*m²",,, 130000000,56 ,56 
251,3.0,2.0,3.0,Excelente,1 a 8 años,2.0,$ 70.000 COP,"$ 2.363.636,36*m²",,, 130000000,55 ,55 
252,3.0,1.0,3.0,Excelente,,1.0,No definida,"$ 1.862.068,97*m²",,, 108000000,58 ,58 
253,2.0,1.0,3.0,,1 a 8 años,5.0,No definida,"$ 2.487.804,88*m²",,, 102000000,41 ,0 
254,3.0,2.0,2.0,Bueno,1 a 8 años,3.0,$ 60.000 COP,"$ 2.107.142,86*m²",,, 118000000,56 ,56 
255,,,,,,,,,,, 95000000,,
256,3.0,2.0,3.0,Excelente,1 a 8 años,1.0,$ 80.000 COP,"$ 2.245.901,64*m²",,, 137000000,61 ,0 
257,2.0,1.0,2.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.545.454,55*m²",,, 112000000,44 ,44 
258,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
259,,,,,,,,,,, 152152000,,
260,3.0,1.0,3.0,Remodelado,9 a 15 años,6.0,No definida,"$ 1.785.714,29*m²",Loft,, 100000000,56 ,56 
261,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
262,,,,,,,,,,, 130625000,,
263,2.0,1.0,3.0,,,,$ 56.000 COP,"$ 2.573.170,73*m²",Loft,, 105500000,41 ,41 
264,3.0,1.0,3.0,Bueno,9 a 15 años,6.0,$ 55.000 COP,"$ 2.310.109,04*m²",,, 125000000,"54,11 ",48 
265,3.0,2.0,3.0,Excelente,9 a 15 años,5.0,$ 44.000 COP,"$ 2.045.454,55*m²",,, 90000000,44 ,44 
